out_name,frequency,units,long_name,standard_name,priority,priority_urb,priority_conv,comment,cell_measures,cell_methods,dimensions,ok_max_mean_abs,ok_min_mean_abs,positive,type,valid_max,valid_min
ts,day,K,Surface Temperature,surface_temperature,I4C-TIER1,URB-CORE,,#T33,area: areacella,area: time: mean,longitude latitude time,,,,real,,
ts,mon,K,Surface Temperature,surface_temperature,I4C-TIER1,URB-CORE,,#T33,area: areacella,area: time: mean,longitude latitude time,,,,real,,
tsblue,1hr,K,Surface temperature blue spaces,bluespaces_surface_temperature,,URB-URB-RCC,,,area: areacella,area: mean time: point,,,,,real,,
tsblue,day,K,Surface temperature blue spaces,bluespaces_surface_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tsblue,mon,K,Surface temperature blue spaces,bluespaces_surface_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tsgree,1hr,K,Surface temperature green spaces,greenspaces_surface_temperature,,URB-URB-RCC,,,area: areacella,area: mean time: point,,,,,real,,
tsgree,day,K,Surface temperature green spaces,greenspaces_surface_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tsgree,mon,K,Surface temperature green spaces,greenspaces_surface_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tsl,6hr,K,Temperature of Soil,soil_temperature,,URB-TIER1,,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,area: areacella,area: mean where land time: point,longitude latitude sdepth time1,,,,real,,
tsl,day,K,Temperature of Soil,soil_temperature,,URB-TIER1,,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,area: areacella,area: mean where land time: mean,longitude latitude sdepth time,,,,real,,
tsl,mon,K,Temperature of Soil,soil_temperature,,URB-TIER1,,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,area: areacella,area: mean where land time: mean,longitude latitude sdepth time,,,,real,,
tspav,1hr,K,Surface temperature pavements,pavement_surface_temperature,,URB-URB-RCC,,,area: areacella,area: mean time: point,,,,,real,,
tspav,day,K,Surface temperature pavements,pavement_surface_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tspav,mon,K,Surface temperature pavements,pavement_surface_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tsroof,1hr,K,Surface temperature roof,roof_surface_temperature,,URB-URB-RCC,,,area: areacella,area: mean time: point,,,,,real,,
tsroof,day,K,Surface temperature roof,roof_surface_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tsroof,mon,K,Surface temperature roof,roof_surface_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tsskin,1hr,K,Skin temperature,skin_temperature,,URB-URB-RCC,,,area: areacella,area: mean time: point,,,,,real,,
