output variable name,WRF variable,units,ag,long_name,standard_name,mon,day,6hr,3hr,1hr,Priority
rsuscs,ACSWUPBC,W m-2,a,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,x,x,x,,,TIER 2
rluscs,ACLWUPBC,W m-2,a,Surface Upwelling Clear-Sky Longwave Radiation,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,x,x,x,,,TIER 2
rsutcs,ACSWUPTC,W m-2,a,TOA Outgoing Clear-Sky Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_clear_sky,x,x,x,,,TIER 2
rlutcs,ACLWUPTC,W m-2,a,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,x,x,x,,,TIER 2
z0,ZNT,m,i,Surface Roughness Length,surface_roughness_length,x,x,,,,TIER 2
cape,-999,J kg-1,i,Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,x,x,,,x,TIER 2
li,-999,K,i,Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,x,x,,,x,TIER 2
cin,-999,J kg-1,i,Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,x,x,,,x,TIER 2
capemax,-999,J kg-1,,Daily Maximum Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,x,x,,,,TIER 2
limax,-999,K,,Daily Maximum Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,x,x,,,,TIER 2
cinmax,-999,J kg-1,,Daily Maximum Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,x,x,,,,TIER 2
od550aer,AOD5502D,1,,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,x,,,,,TIER2
ua150,-999,m s-1,i,Eastward Wind,eastward_wind,x,x,x,,x,TIER 2
ua100,-999,m s-1,i,Eastward Wind,eastward_wind,x,x,x,,x,TIER 2
ua70,-999,m s-1,i,Eastward Wind,eastward_wind,x,x,x,,x,TIER 2
ua50,-999,m s-1,i,Eastward Wind,eastward_wind,x,x,x,,x,TIER 2
ua30,-999,m s-1,i,Eastward Wind,eastward_wind,x,x,x,,x,TIER 2
ua20,-999,m s-1,i,Eastward Wind,eastward_wind,x,x,x,,x,TIER 2
ua10,-999,m s-1,i,Eastward Wind,eastward_wind,x,x,x,,x,TIER 2
va150,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 2
va100,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 2
va70,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 2
va50,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 2
va30,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 2
va20,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 2
va10,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 2
ta150,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 2
ta100,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 2
ta70,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 2
ta50,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 2
ta30,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 2
ta20,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 2
ta10,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 2
hus150,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 2
hus100,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 2
hus70,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 2
hus50,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 2
hus30,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 2
hus20,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 2
hus10,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 2
zg150,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 2
zg100,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 2
zg70,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 2
zg50,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 2
zg30,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 2
zg20,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 2
zg10,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 2
wa150,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 2
wa100,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 2
wa70,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 2
wa50,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 2
wa30,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 2
wa20,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 2
wa10,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 2
ua750,-999,m s-1,i,Eastward Wind,eastward_wind,x,x,x,,x,TIER 2
va750,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 2
ta750,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 2
hus750,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 2
zg750,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 2
wa750,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 2
ua200m,-999,m s-1,i,Eastward Wind at 200m,eastward_wind,x,x,,,x,TIER 2
ua250m,-999,m s-1,i,Eastward Wind at 250m,eastward_wind,x,x,,,x,TIER 2
ua300m,-999,m s-1,i,Eastward Wind at 300m,eastward_wind,x,x,,,x,TIER 2
va200m,-999,m s-1,i,Northward Wind at 200m,northward_wind,x,x,,,x,TIER 1
va250m,-999,m s-1,i,Northward Wind at 250m,northward_wind,x,x,,,x,TIER 1
