out_name,frequency,units,long_name,priority,priority_urb,priority_conv,comment
sftgif,fx,%,Percentage of the Grid Cell Covered by Glacier,,,CONV-CORE,
sftlaf,fx,%,Percentage of the Grid Cell Occupied by Lake,,URB-TIER2,,not in CMIP or in CF
sftlf,fx,%,Percentage of the Grid Cell Occupied by Land,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP4 #WP6
sfturf,fx,%,Percentage of the Grid Cell Occupied by Urban Area,I4C-TIER2,URB-CORE,,#T33 #WP4 #WP6 not in CMIP or in CF
snc,day,%,Snow Area Percentage,,,CONV-CORE,
snd,day,m,Snow Depth,,,CONV-CORE,
snw,1hr,kg m-2,Surface Snow Amount,I4C-CORE,,,#WP6
ta1000,1hr,K,Air Temperature,I4C-TIER1,,,#T33
ta1000,3hr,K,Air Temperature,,,CONV-CORE,
ta1000,6hr,K,Air Temperature,,URB-TIER1,,
ta1000,day,K,Air Temperature,I4C-TIER1,URB-TIER1,,#T33
ta1000,mon,K,Air Temperature,,URB-TIER1,,
ta200,1hr,K,Air Temperature,I4C-TIER1,,,#T33
ta200,3hr,K,Air Temperature,,,CONV-CORE,
ta200,day,K,Air Temperature,I4C-TIER1,,,#T33
ta500,1hr,K,Air Temperature,I4C-TIER1,,,#T33
ta500,3hr,K,Air Temperature,,,CONV-CORE,
ta500,day,K,Air Temperature,I4C-TIER1,,,#T33
ta50m,1hr,K,Air Temperature at 50m,,URB-TIER1,,requested for urban modeling
ta50m,day,K,Air Temperature at 50m,,URB-TIER1,,requested for urban modeling
ta50m,mon,K,Air Temperature at 50m,,URB-TIER1,,requested for urban modeling
ta700,1hr,K,Air Temperature,I4C-TIER1,,,#T33
ta700,3hr,K,Air Temperature,,,CONV-CORE,
ta700,6hr,K,Air Temperature,,URB-TIER1,,
ta700,day,K,Air Temperature,I4C-TIER1,URB-TIER1,,#T33
ta700,mon,K,Air Temperature,,URB-TIER1,,
ta850,1hr,K,Air Temperature,I4C-TIER1,,,#T33
ta850,3hr,K,Air Temperature,,,CONV-CORE,
ta850,6hr,K,Air Temperature,,URB-TIER1,,
ta850,day,K,Air Temperature,I4C-TIER1,URB-TIER1,,#T33
ta850,mon,K,Air Temperature,,URB-TIER1,,
